SEX,AGE,score_raw,score_transform
1,30,989.694334483081,820.962018575647
1,30,989.673070529849,820.662549551131
1,40,989.664832360986,820.449641732751
1,30,989.657854222437,820.349026890858
1,30,989.623067898969,819.905639296116
1,30,989.614482388902,819.740371815513
1,30,989.58945067884,819.210277946745
1,30,989.572732075906,819.068191980033
1,40,989.563738202382,818.793870473844
1,40,989.56244363922,818.765221023056
1,30,989.554778472253,818.699901559255
1,30,989.548660664873,818.57397775121
1,30,989.536707312932,818.316404474026
1,30,989.534554322728,818.279178816357
1,30,989.492658492743,817.86696159176
1,30,989.444545424569,817.406710562699
1,40,989.413354652594,816.956056971075
1,30,989.40658974448,816.83562493215
1,30,989.395269909444,816.646681306316
1,30,989.376859734017,816.383160223021
1,30,989.354539115811,815.973912465954
1,30,989.343130258321,815.67308494022
1,30,989.316574603915,815.215467082934
1,30,989.287782420183,814.790819470477
1,40,989.277877370609,814.675874682107
1,30,989.270426715335,814.588594863562
1,40,989.246224434519,814.133441023675
1,30,989.234089288043,813.996861581163
1,30,989.216036195292,813.776827928606
1,30,989.186713704315,813.531121257809
1,30,989.17874622528,813.407648388623
1,30,989.144926294445,812.824931211133
1,30,989.134190789688,812.660833475364
1,30,989.12507694138,812.56080088729
1,30,989.113369864178,812.424394044494
1,40,989.103306031633,812.280209589903
1,30,989.093570284783,812.091064524466
1,30,989.061961776955,811.785128555074
1,40,989.047946917382,811.592305749445
1,30,989.025128540397,811.392341691218
1,30,989.013594212876,811.218865042379
1,30,989.002533084135,811.048595735765
1,30,988.97406217243,810.715811488422
